OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_LOG,P12_RP,P12_RSECOCC,P12_LOGVAC,TX12_RSECOCC,TX12_LOGVAC,P12_PMEN,TMM12,P12_RP_PROP,P12_RP_LOC,P12_RP_LOCHLMV,P12_RP_GRAT,TX12_RP_PROP,TX12_RP_LOCHLM,SHAPE_Length,SHAPE_Area
32,750004356,75103,9,751030901,H,Arts et Metiers 1,35090.51946522,33149.08784627,33149.08784627,Paris,T1,751030901,751030901,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 1,H,00,1,5.50869047424,1326.00567754834,1078.62184238307,125.282035887925,122.101799277342,9.44807688301603,9.20824106146338,1943.48868910145,1.80182582322602,413.858316787014,609.496591429768,43.5103094786906,55.2669341662912,38.3691763438286,4.03387987976956,1494.01511087674,55082.6744678163
33,750004368,75103,9,751030902,H,Arts et Metiers 2,30727.36130625,29793.95274878,30660.91031458,Paris,T1,751030902,751030902,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 2,H,00,1,4.14962594901,1537.00687193047,1305.53081425807,86.0710868734693,145.40497079894,5.59991555310123,9.460268099928,2152.30194989335,1.64860294861482,444.214738994289,788.537022275096,12.0748284332991,72.7790529886809,34.0256035432405,0.924898003281615,1313.34422380805,41492.9804417687
34,750004381,75103,9,751030903,H,Arts et Metiers 3,46762.29708308,30142.52464974,46333.06917267,Paris,T1,751030903,751030903,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 3,H,00,2,7.11759958618,1398.00597249761,1134.65636698206,131.350981783143,131.998623732408,9.3955951810762,9.44192130285291,1903.76906569954,1.67783755601985,423.937783483352,623.930097314573,19.3271105704378,86.7884861841326,37.3626584946538,1.7033448304568,1244.86355118984,71170.2376604365
35,750004397,75103,9,751030904,H,Arts et Metiers 4,33033.40600258,30272.23626982,33033.40600258,Paris,T1,751030904,751030904,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 4,H,00,2,4.25865358082,1614.00665255649,1263.85409802135,187.479049202622,162.673505332523,11.6157544273852,10.078862133242,2040.15808695404,1.61423544865507,439.923770931719,776.827205741087,77.5107600980482,47.1031213485409,34.8081136596741,6.13288829932164,859.687646637381,42582.9682183454
36,750004351,75103,9,751030905,H,Arts et Metiers 5,70551.71967761,33647.58164406,63085.92371744,Paris,T1,751030905,751030905,75,00851,75103,Paris 3e Arrondissement,Arts et Metiers 5,H,00,2,10.7676932898,1238.50521505986,990.758182017357,121.554735238091,126.192297804411,9.81463249084632,10.1890808589217,1735.63191299168,1.75182193242919,291.066657851746,635.162906568784,130.401653567559,64.5286175968262,29.3781735174857,13.1618043569459,1667.84182098143,107668.318526553
37,750004376,75103,10,751031001,H,Enfants Rouges 1,44980.50701557,40681.64808208,43337.38701328,Paris,T1,751031001,751031001,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 1,H,00,1,6.45441074171,1474.50633740859,1203.98223366282,92.2610834590912,178.263020286681,6.25708287027356,12.0896747449708,2213.98846973607,1.83888799006656,385.138929699801,757.468871018006,118.216715844181,61.374432945015,31.988755226737,9.81880899392807,986.362244701411,64538.8714514116
38,750004398,75103,10,751031002,H,Enfants Rouges 2,41266.47655863,41266.47655863,41266.47655863,Paris,T1,751031002,751031002,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 2,H,00,1,6.1052259833,1573.50676203663,1284.65315841051,185.855676829131,102.997926796994,11.8115588260055,6.5457568586284,2177.21418528843,1.69478755493996,518.640177118065,700.89217407884,37.7077388081749,65.1208072136007,40.3720003117243,2.93524665091942,1165.30936396765,61046.9796088799
39,750004407,75103,10,751031003,H,Enfants Rouges 3,52698.35445812,48923.54007141,52442.04699219,Paris,T1,751031003,751031003,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 3,H,00,1,6.75060304704,2059.50869021123,1650.96818001883,228.690662559163,179.849847633239,11.1041368092361,8.7326578658327,2808.28889660979,1.70099516792489,597.33973069039,973.968327552743,67.1064589973482,79.660121775699,36.1811776822722,4.06467306938543,1251.56720117693,67500.1893596741
40,750004393,75103,10,751031004,H,Enfants Rouges 4,50213.87453116,31811.36045523,41998.73700586,Paris,T1,751031004,751031004,75,00851,75103,Paris 3e Arrondissement,Enfants Rouges 4,H,00,1,7.87920012547,1545.00663942147,1261.35870327022,159.699611401706,123.948324749541,10.3365000076315,8.02251081561394,2220.77658142731,1.76062255381414,459.245538982415,694.180002675371,0,107.933161612431,36.4087977346784,0,1299.15631299972,78785.3389433738
41,750004491,75103,11,751031101,H,Les Archives 1,61877.29272209,57407.82248102,60925.31237307,Paris,T1,751031101,751031101,75,00851,75103,Paris 3e Arrondissement,Les Archives 1,H,00,1,7.64735677722,1523.00630103053,1197.07112101159,183.263324772571,142.671855246366,12.0329984615669,9.36777839657183,2253.97627654362,1.88290924154856,483.231388910349,641.516590350316,84.3747715804302,72.3231417509274,40.3678094332433,7.04843430765657,1176.96853894674,76466.4676479616
42,750004525,75103,11,751031102,H,Les Archives 2,42117.46044027,39957.37427593,41768.48468866,Paris,T1,751031102,751031102,75,00851,75103,Paris 3e Arrondissement,Les Archives 2,H,00,2,6.07697412166,1217.00521243101,990.258753207837,137.668520447834,89.0779387753406,11.3120731975204,7.31943773662269,1792.18344089955,1.80981327869505,406.896988943973,498.506957559857,18.6714051578974,84.8548067040075,41.0899663977596,1.88550771173831,1179.31855777348,60763.8665952002
43,750004492,75103,11,751031103,H,Les Archives 3,99468.12721685,48129.60286699,91264.03021503,Paris,T1,751031103,751031103,75,00851,75103,Paris 3e Arrondissement,Les Archives 3,H,00,1,11.6070314867,1332.00518461894,984.975009021279,245.508875651067,101.521299946589,18.4315255290319,7.62168954887611,1632.80670383462,1.65771383931563,449.489574788459,446.254892569185,43.3339494256321,89.2305416636355,45.6346171904498,4.39949735056638,1623.877650154,116059.401891421
44,750004477,75103,11,751031104,H,Les Archives 4,92836.80252882,80477.59859316,91488.78882163,Paris,T1,751031104,751031104,75,00851,75103,Paris 3e Arrondissement,Les Archives 4,H,00,1,11.449427375,2136.00875990326,1664.20828578369,325.24550813037,146.5549659892,15.2267871853251,6.86115940815889,2896.47580949765,1.74045270309039,569.827154150188,1002.54205504706,32.98800916666,91.8390765864415,34.2401344241507,1.98220435797949,1523.59508532694,114483.863630898
