OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_POP1564,P12_ACT1564,TX12_ACT1564,P12_ACTOCC1564,TX12_ACTOCC1564,C12_ACTOCC15P,C12_ACTOCC15P_TCOM,TX12_ACTOCC15P_TCOM,C12_ACT1564_CS1,C12_ACT1564_CS2,C12_ACT1564_CS3,C12_ACT1564_CS4,C12_ACT1564_CS5,C12_ACT1564_CS6,SHAPE_Length,SHAPE_Area
42,750004525,75103,11,751031102,H,Les Archives 2,42117.46044027,39957.37427593,41768.48468866,Paris,T1,751031102,751031102,75,00851,75103,Paris 3e Arrondissement,Les Archives 2,H,00,2,6.07697412166,1264.3331541599,1033.18347107337,81.7176602285558,905.089487294819,71.5863128572481,972.421248942693,561.462234359028,57.7385813986996,0,74.3889910059863,528.197752184976,244.995810458324,150.106449740603,34.7581010077362,1179.31855777348,60763.8665952002
43,750004492,75103,11,751031103,H,Les Archives 3,99468.12721685,48129.60286699,91264.03021503,Paris,T1,751031103,751031103,75,00851,75103,Paris 3e Arrondissement,Les Archives 3,H,00,1,11.6070314867,1121.22653255042,888.137499704709,79.2112453568585,764.800287340551,68.2110407787874,817.110747198659,418.643516102496,51.2346114082764,0,57.1603548838292,456.194923236228,202.037320610158,143.814648193377,19.5053569428084,1623.877650154,116059.401891421
44,750004477,75103,11,751031104,H,Les Archives 4,92836.80252882,80477.59859316,91488.78882163,Paris,T1,751031104,751031104,75,00851,75103,Paris 3e Arrondissement,Les Archives 4,H,00,1,11.449427375,2092.03845079331,1686.20927825895,80.6012565218163,1545.46643505589,73.8737108043996,1593.07653096487,885.877284752342,55.6079552697821,0,134.596090000693,950.625613368192,353.458306114546,217.212462288269,25.0235183462535,1523.59508532694,114483.863630898
45,750004414,75103,12,751031201,H,Sainte-Avoye 1,55459.19222673,43194.2898586,55459.19222673,Paris,T1,751031201,751031201,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 1,H,00,1,6.7806556572,1558.92477406696,1233.89203648168,79.1501974314435,1116.07376974472,71.592535336588,1131.99415780004,714.575963935424,63.1254109406501,1.03550080950949,63.4778971912982,665.539625025435,291.423053122727,131.38565037443,65.5969987645893,1108.64545438576,67800.6793423649
46,750004475,75103,12,751031202,H,Sainte-Avoye 2,44892.68003617,37384.36626227,40846.0915704,Paris,T1,751031202,751031202,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 2,H,00,1,5.53535957994,1464.48901535967,1217.72924190222,83.1504524192797,1073.71683238383,73.3168238971142,1096.84605299858,650.358559617404,59.293513236378,0.953743962025427,107.544753729354,603.597767560331,260.956401210787,178.917228311324,55.5079255829049,955.287223316526,55348.6588645366
47,750004465,75103,12,751031203,H,Sainte-Avoye 3,31129.6352086,29836.62199658,31129.6352086,Paris,T1,751031203,751031203,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 3,H,00,1,4.26516330482,1428.02974632137,1108.62144340669,77.6329377075315,956.180996806264,66.9580587707926,984.088176159491,631.720502811115,64.1934857175575,2.75663003693061,60.8682337479873,482.918241101492,259.22753269431,248.667791033393,51.4044723375027,855.71782436847,42647.9006835806
48,750004405,75103,12,751031204,H,Sainte-Avoye 4,34125.55099336,31000.41001816,33249.82759551,Paris,T1,751031204,751031204,75,00851,75103,Paris 3e Arrondissement,Sainte-Avoye 4,H,00,1,4.74474256582,1737.40474449426,1369.3601760585,78.8164174408947,1199.06234502345,69.0145660545253,1230.79287925919,772.142083343374,62.7353388498741,0,59.9467853911048,743.508558311903,264.296138827381,170.346880762684,116.645078466627,852.08796960255,47443.3999123723
49,750004499,75104,13,751041301,H,Saint-Merri 1,33283.96418234,32317.03245552,33283.96418234,Paris,T1,751041301,751041301,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 1,H,00,2,4.42516850752,1284.95546671883,1018.09335980811,79.2318011150871,902.189081315505,70.211700302678,931.91167232545,575.510737838769,61.7559319117299,0,80.8248392902375,497.371666479685,234.352383512103,160.422706347001,38.2993529111669,931.738345575953,44247.565778239
50,750004489,75104,13,751041302,H,Saint-Merri 2,75107.43305801,60494.73405218,74275.67758034,Paris,T1,751041302,751041302,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 2,H,00,1,10.5001598037,1725.68286289253,1440.44098330691,83.4707821628648,1249.98367468397,72.4341477546335,1288.8514426835,762.914277218352,59.1933447061904,0,124.015830438808,821.195487987423,281.510673011138,154.445773233232,53.3691326130836,1354.96808255071,104991.866481133
51,750004484,75104,13,751041303,H,Saint-Merri 3,31131.50644375,30887.79055387,30887.79055387,Paris,T1,751041303,751041303,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 3,H,00,2,4.97933390378,1379.03640858653,1100.09472209627,79.7727105134107,935.97139587428,67.8714057182594,969.118442643453,616.943174366354,63.6602449421482,3.06567746994189,59.5881753950377,549.179815763093,215.617331669834,195.890387062438,72.7386218201151,1078.96268218672,49788.7681971931
