OBJECTID,N_SQ_IR,C_CAINSEE,N_QU,C_IR,C_TYPEIR,L_IR,M2_IP,M2_POP,M2_EMP,NOM_EPT,EPT,IRIS,IRIS_NUM,DEP,UU2010,COM,LIBCOM,LIBIRIS,TYP_IRIS,MODIF_IRIS,LAB_IRIS,SHAPE_ha,P12_RP_VOIT1P,TX12_RP_VOIT1P,C12_MEN,C12_MENPSEUL,TX12_MENPSEUL,C12_NE24F1,C12_NE24F2,C12_NE24F3,C12_NE24F4P,C12_NE24F,TX12_NE24F,SHAPE_Length,SHAPE_Area
53,750004541,75104,13,751041305,A,Saint-Merri 5,5919.54928278,3.55037445,5919.54928278,Paris,T1,751041305,751041305,75,00851,75104,Paris 4e Arrondissement,Saint-Merri 5,A,00,3,0.859425162674,,,,,,,,,,0,,375.62740899531,8593.41997391819
54,750004558,75104,13,751041399,D,Seine et Berges,1888.91359102,0.01548308,0.01548308,Paris,T1,751041399,751041399,75,00851,75104,Paris 4e Arrondissement,Seine et Berges,D,00,3,2.90284262743,,,,,,,,,,0,,1068.00989547901,29025.5591229893
55,750004560,75104,14,751041401,H,Saint-Gervais 1,117165.34460777,68216.23554985,106694.6421282,Paris,T1,751041401,751041401,75,00851,75104,Paris 4e Arrondissement,Saint-Gervais 1,H,00,1,17.8764261951,531.347106303184,,1826.35159142904,1121.84881244755,61.4256760698392,149.275374171901,118.934192744804,39.6550466930091,16.4376201808682,324.302233790583,17.7568347361217,1858.859869116,178746.132436484
56,750004507,75104,14,751041402,H,Saint-Gervais 2,58054.18127632,42231.53833912,55786.688441,Paris,T1,751041402,751041402,75,00851,75104,Paris 4e Arrondissement,Saint-Gervais 2,H,00,1,7.98872031437,323.576454419805,,1308.24854044954,850.702185013463,65.0260373859193,69.0328895827932,39.3851689773818,22.0310358378888,1.92252133765834,132.371615735722,10.1182314860628,1251.59639672088,79879.5711866323
57,750004533,75104,14,751041403,H,Saint-Gervais 3,52662.74637948,45298.42956638,50319.1314082,Paris,T1,751041403,751041403,75,00851,75104,Paris 4e Arrondissement,Saint-Gervais 3,H,00,1,6.72171022416,387.807235477845,,1551.74638790084,871.966979566941,56.1926218334245,132.02769532937,77.2082377487179,28.1015580444,8.37747531222945,245.714966434718,15.834737451338,1070.48055775987,67210.5514113485
58,750004556,75104,14,751041404,H,Saint-Gervais 4,37205.91412148,33060.96138472,35988.74533296,Paris,T1,751041404,751041404,75,00851,75104,Paris 4e Arrondissement,Saint-Gervais 4,H,00,1,5.13278043946,351.613669691953,,1134.27599840755,671.714472000868,59.2196672541702,119.018798571893,38.7007625307742,24.3769511969662,2.90000659147044,184.996518891104,16.3096564813879,910.936255782853,51322.7047900725
59,750004582,75104,14,751041499,D,Seine et Berges,6326.1620844,0.05967024,0.05967024,Paris,T1,751041499,751041499,75,00851,75104,Paris 4e Arrondissement,Seine et Berges,D,00,3,4.4596294225,,,,,,,,,,0,,1429.54020136422,44591.687727251
60,750004617,75104,15,751041501,H,Arsenal 1,108226.22785195,84524.16103496,106459.36805185,Paris,T1,751041501,751041501,75,00851,75104,Paris 4e Arrondissement,Arsenal 1,H,00,1,16.4053603565,714.266695655241,,1471.57591356657,649.774889730582,44.1550370416,191.457736826649,164.442536923348,66.1495883225104,16.7463418202556,438.796203892763,29.8181153855176,1868.26833112464,164035.582501128
61,750004589,75104,15,751041502,H,Arsenal 2,44729.38917944,34562.3190407,42558.79724848,Paris,T1,751041502,751041502,75,00851,75104,Paris 4e Arrondissement,Arsenal 2,H,00,1,6.36457907287,338.464166796164,,987.731534988294,601.172278987885,60.8639349552618,62.5744441521081,50.6629589196282,13.6432309068882,8.33597452861591,135.21660850724,13.6896113688263,1221.47452883952,63639.1079658427
62,750004600,75104,15,751041503,H,Arsenal 3,39364.60089745,33080.39740829,38957.37798302,Paris,T1,751041503,751041503,75,00851,75104,Paris 4e Arrondissement,Arsenal 3,H,00,1,6.24256711191,335.777571308322,,1013.46347488516,495.271677384434,48.8692182459321,105.630995275253,83.5711725895273,32.6357868046202,0,221.8379546694,21.8890922235297,1308.35669489824,62419.1368546189
63,750004567,75104,15,751041504,H,Arsenal 4,73582.88660784,51720.01145655,60911.921664,Paris,T1,751041504,751041504,75,00851,75104,Paris 4e Arrondissement,Arsenal 4,H,00,1,9.73221564096,372.329573052705,,1227.81891123331,749.397854567881,61.0348845185268,104.448314572241,43.1128954555806,14.6595188232406,8.79837088785841,171.01909973892,13.928690800758,1274.57016108871,97312.2967287713
64,750004614,75104,15,751041588,D,Bassin de L'Arsenal,4283.74949452,0.58856817,934.47277995,Paris,T1,751041588,751041588,75,00851,75104,Paris 4e Arrondissement,Bassin de l'Arsenal,D,00,3,3.64373497702,,,,,,,,,,0,,1415.86667364441,36433.3304850468
65,750004624,75104,15,751041599,D,Seine et Berges,9372.10377573,0,0,Paris,T1,751041599,751041599,75,00851,75104,Paris 4e Arrondissement,Seine et Berges,D,00,3,6.33844929002,,,,,,,,,,0,,1707.32467750268,63377.3743710702
66,750004604,75104,16,751041601,H,Notre-Dame 1,69848.87956807,64455.7759123,69848.87956807,Paris,T1,751041601,751041601,75,00851,75104,Paris 4e Arrondissement,Notre Dame 1,H,00,1,8.76729466469,545.371326245712,,1470.11608109945,871.808190431812,59.3019967361906,91.3082409031922,68.1648306313754,23.0207221655473,0,182.493793700115,12.4135635305501,1377.80446023708,87663.5838751522
67,750004583,75104,16,751041602,H,Notre-Dame 2,20988.42545105,20011.99015119,20988.42545105,Paris,T1,751041602,751041602,75,00851,75104,Paris 4e Arrondissement,Notre Dame 2,H,00,2,3.09101862281,163.646908122176,,432.338377004204,238.808531214184,55.2364869547221,30.1135661169212,7.47800582133075,7.60861065231951,0,45.2001825905715,10.4548161798119,750.783979957997,30907.0069251758
68,750004571,75104,16,751041603,A,Notre-Dame 3,74763.10083598,2619.43430639,50494.4527965,Paris,T1,751041603,751041603,75,00851,75104,Paris 4e Arrondissement,Notre Dame 3,A,00,3,12.0093478792,9.99986146147019,,7.99988916917616,0,0,3.99994458458808,0,0,0,3.99994458458808,50,1727.64108834802,120081.109327276
